823e75c5,מה מגיע לנפגעי תאונת דרכים ,correct_url
9a47a8c0,איזה תושבים זכאים לגמילה מסמים באשפוז?,https://www.kolzchut.org.il/he/אשפוזית-_גמילה_גופנית_באשפוז_לנפגעי_סמים
c92316d1,האם עובדי קבלן בתחום השמירה מקבלים קרן השתלמות?,https://www.kolzchut.org.il/he/קרן_השתלמות_לעובדי_קבלן_בתחומי_השמירה_והניקיון_בגופים_ציבוריים
59753a98,כמה כסף זכאים לקבל עובדי המדינה כתוספת מעונות עבור כל אחד משני ילדיהם הראשונים?,https://www.kolzchut.org.il/he/תוספת_מעונות_לעובדים_בשירות_המדינה
f6b50459,אפשר טלפון למוקד של נפגעי חרדה?,https://www.kolzchut.org.il/he/מוקדים_לסיוע_נפשי_מטעם_קופות_החולים_לנפגעי_טראומה_וחרדה_בעקבות_המצב_הבטחוני
ecc2fefc,האם חרדי בשירות לאומי-אזרחי זכאי לימי חופשה נוספים?,https://www.kolzchut.org.il/he/ימי_חופשה_לחרדים_המשרתים_בשירות_לאומי-אזרחי
9709211d,איזה אחוז מהעובדים בשירות המדינה צריכים להיות חרדים ?,https://www.kolzchut.org.il/he/ייצוג_הולם_לחרדים_בקרב_העובדים_בשירות_המדינה
782654b7,האם יש זכאות למלגה לילדים של ניצולי שואה,https://www.kolzchut.org.il/he/מענק_השכלה_לבני/בנות_ניצולי_שואה
7be45ce1,האם כללית צריכה לממן את טיפולי הגמגום של בני בן ה-7?,https://www.kolzchut.org.il/he/טיפולים_לילדים_עם_הפרעה_בשטף_הדיבור_(גמגום)
705026fd,מהו סכום מענק ההבראה עבור נכי צה״ל וכוחות הביטחון?,"https://www.kolzchut.org.il/he/מענק_הבראה_לנכי_צה""ל_וכוחות_הביטחון"
7cfab80d,האם גם בן הזוג יכול לקבל חופשת לידה?,https://www.kolzchut.org.il/he/סיוע_ברכישת_דירה_למקבלי_קצבת_שאירים_עם_השלמת_הכנסה
efed3273,"מהם הדברים שבני משפחה של חללי פעולת איבה שנמצאים בחו""ל זכאים","https://www.kolzchut.org.il/he/מימון_טיסה_ושהייה_בארץ_לבני_משפחה_של_חלל_פעולת_איבה_המתגוררים_בחו""ל"
f9c9cde6,נכון שהורים עצמאיים מקבלים פטור משירות במילואים?,https://www.kolzchut.org.il/he/הקלות_לחיילי_מילואים_שהם_הורים_יחידים
e1913659,עבור אילו מחלות לא צריך לשלם על התורפות ,https://www.kolzchut.org.il/he/פטור_מתשלומים_בקופות_החולים_לחולים_במחלות_קשות
e18152b3,מהם התנאים שבהם אדם עם מוגבלות בניידות זכאי לפטור מתשלום דמי היתר או דמי חכירה מהוונים על קרקע המיועדת להקמת בית מגוריו?,https://www.kolzchut.org.il/he/דחיית_תשלום_דמי_היתר_או_דמי_חכירה_מהוונים_לאנשים_עם_מוגבלות_בניידות
24acb373,מה גובה שכרו היחסי של עובד שעבד ביום הבחירות?,https://www.kolzchut.org.il/he/תשלום_עבור_עבודה_ביום_הבחירות_לכנסת
91853e4d,"הגשת בקשה לתשלומי משפחה למלש""בים","https://www.kolzchut.org.il/he/תשלומי_משפחה_(תשמ""ש)_כסיוע_כלכלי"
beffa66f,"האם אישור רופא מספיק על מנת לקבל נעליים אורתופדיות או מדרסים, עבור נכי צה""ל?","https://www.kolzchut.org.il/he/נעליים_אורתופדיות,_מדרסים_ונעליים_מיוחדות_לנכי_צה""ל_וכוחות_הביטחון"
d0b36ab4,באילו דרכים מקום העבודה ותנאי העבודה צריכים להיות מותאמים על ידי המעסיק עבור אדם עם מוגבלויות?,https://www.kolzchut.org.il/he/התאמות_במקום_העבודה_לאנשים_עם_מוגבלויות
a98a7b90,האם טיפול עבור קהילות לנפגעי התמכרות לסמים חינם?,https://www.kolzchut.org.il/he/קהילות_טיפוליות_לנפגעי_התמכרות_לסמים
6ed4002b,זכויות לאוכל מיוחד בבתי חולים,https://www.kolzchut.org.il/he/מזון_לטבעונים_וצמחונים_בבתי_חולים
06c70bef,"מה אומר הקיצור תט""ר?",https://www.kolzchut.org.il/he/מענק_השתתפות_בתשלום_מס_הכנסה_לנפגעי_פעולת_איבה
2ed894b4,שכר טרחה תביעה גורמים משפיעים,https://www.kolzchut.org.il/he/הגבלת_שכר_טרחה_עבור_סיוע_או_ייצוג_בתביעה_לקצבת_נכות_ומענק_נכות_לנפגעי_עבודה
17c0aeaf,כמה עולים חיסונים לתינוקות?,https://www.kolzchut.org.il/he/חיסונים_לתינוקות_וילדים
6932e5fb,האם חולי אפילפסיה רשאים להוציא רישיון על כל כלי רכב?,https://www.kolzchut.org.il/he/רישיון_נהיגה_לחולי_אפילפסיה
043709ee,מה הם התנאים למימון תרופות לבני משפחה של חללי פעולות האיבה?,https://www.kolzchut.org.il/he/מימון_תרופות_לבני_משפחה_של_חלל_פעולת_איבה
4db9e261,איך אישה במקלט לנשים מוכות מצביעה בבחירות המקומיות,https://www.kolzchut.org.il/he/הצבעה_של_נשים_השוהות_במקלט_לנשים_מוכות_בבחירות_לרשויות_המקומיות
1ed5237d,"אני חיילת מילואים העוברת טיפולי פוריות, איך אני יכולה להשתחרר מהמילואים?",https://www.kolzchut.org.il/he/שחרור_חיילת_מילואים_העוברת_טיפולי_פוריות
dff9284a,מיקומים של מתקן שתייה למים קרים במתקנים ציבוריים,https://www.kolzchut.org.il/he/הצבת_מתקן_שתייה_למים_קרים_בבניינים_ציבוריים
04517837,"אם העובד הסוציאלי מזהה שיש צורך להתערב בטיפול של ילד ממשפחה נפגעת התמכרות, מה עליו לעשות?",https://www.kolzchut.org.il/he/טיפול_בילדיהם_של_נפגעי_התמכרויות
f8f2990a,"אילו מסמכים יש לצרף לבקשה למענק השתתפות במימון לימודים לילדים של נפגעי פעולות איבה, ומתי יש להגישם?",https://www.kolzchut.org.il/he/מענק_לימודים_לילדים_של_נפגע_פעולת_איבה_הלומדים_במוסדות_להשכלה_גבוהה
7b3779b0,האם מותר להעסיק אישה בהיריון בחודש השישי ביום שבת?,https://www.kolzchut.org.il/he/הגבלת_עבודה_בהריון
e339f38f,כמה כסף חודשי ארגון מחתרת שנאסר בתקופת המנדט הבריטי צפוי לקבל?,https://www.kolzchut.org.il/he/תשלום_לחברים_בארגוני_מחתרת_שנאסרו_בתקופת_המנדט_הבריטי
e6285525,מה גובה הסיוע להחזר הוצאות עבור בני משפחה של נפגע פעולות איבה?,https://www.kolzchut.org.il/he/החזר_הוצאות_לבני_משפחה_של_נפגע_פעולת_איבה
d571eaf7,כל כמה זמן מוסד להשכלה על תיכונית חייב לפרסם כללי משמעת?,https://www.kolzchut.org.il/he/פרסום_כללי_משמעת_לסטודנט_ולמועמד_ללימודים
fefea7db,פטור ממיסים על ייבוא חפצי בית לתושבים חוזרים,"https://www.kolzchut.org.il/he/פטור_ממס_קניה,_מע""מ_ותשלומי_מכס_לתושב_חוזר_ולסטודנט_חוזר_בייבוא_חפצי_בית"
f70f521e,שווי סל לנמצאים בשלבי שיקום ביציאה ממעגל הזנות,https://www.kolzchut.org.il/he/סל_מענים_גמיש_למשתקמים_ממעגל_הזנות
d63ac50c,אפשר לקבל תוספת במימון הוצאות בחירות אם מעל חצי מרשימת המועמדים הן נשים?,https://www.kolzchut.org.il/he/תוספת_מימון_בבחירות_לרשויות_המקומיות_לרשימה_ששליש_מנבחריה_הן_נשים
fe4b869a,"בתור משרת מילואים פעיל, כמה אחוזי הנחה אני ואשתי יהיו זכאים בכניסה לחניונים המשמשים ללינה ברשות הטבעים והגנים?",https://www.kolzchut.org.il/he/הנחות_ברשות_הטבע_והגנים_הלאומיים_לחייל_מילואים
9b769d1c,"נפגעתי במהלך ההתנדבות במשטרה, מגיע לי קצבה?",https://www.kolzchut.org.il/he/תגמולים_למתנדב_שנפגע_במהלך_התנדבותו
bc17ddd4,האם אסירות שהן אמהות לילדים וכן ילדיהן שנמצאים איתן בכלא זכאים לטיפול רפואי מחוץ לכלא?,https://www.kolzchut.org.il/he/טיפול_רפואי_לאסירות_בהריון_ולילדיהן_בכלא
4818b0d5,האם אני יכול להחזיר מוצר שרכשתי שלא נעשה בו שימוש?,https://www.kolzchut.org.il/he/ביטול_עסקה_צרכנית
72b3be9d,המעסיק פיטר אותי במהלך או אחרי חופשת הלידה. האם זה חוקי?,https://www.kolzchut.org.il/he/חופשת_לידה
1b2e6632, באיזה שעות יהיו פתוחות הקלפיות בבתי חולים כדי שאוכל להצביע למועמד ברשות המקומית?,https://www.kolzchut.org.il/he/הצבעה_בבחירות_לרשויות_המקומיות_למאושפזים_בבתי_חולים
6b9b4221,האם ניצולי שואה יכולים לקבל טיפול סוציאלי פרטני מטעם הקרן לרווחה בתל אביב ובאר שבע?,https://www.kolzchut.org.il/he/טיפול_סוציאלי_פרטני_לניצולי_שואה_תושבי_תל_אביב_-_יפו
35c05978,איזה מענק יקבל אסיר נזקק,https://www.kolzchut.org.il/he/מענק_כספי_לאסיר_נזקק
ac4b0b3f,אילו מסמכים צריך לצרף כדי להגיש בקשה לחינוך ביתי,https://www.kolzchut.org.il/he/חינוך_ביתי
54cf9942,"האם הורים לילד עם מוגבלות, אשר שילמו 15% מהכנסתם החייבת במס להחזקתו בדיור מחוץ לבית, יכולים לקבל הטבת מס אם הילד בזוגיות וכלל הכנסותיו והכנסות בן/בת זוגו מעל 310,000 ₪ בשנה?",https://www.kolzchut.org.il/he/זיכוי_במס_הכנסה_עבור_ילד_בדיור_מחוץ_לבית_ההורים
c88022a0,למי ניתן לפנות על מנת לערער על החלטת הרשות המקומית בנושא הארנונה לנכים?,https://www.kolzchut.org.il/he/הנחה_בארנונה_לנכים
b41332fb,האם מתנדב בשירות לאומי צריך לשלם על נסיעה ברכבת,https://www.kolzchut.org.il/he/פטור_מתשלום_ברכבת_למתנדבי_השירות_הלאומי-אזרחי
3c1a09ea,האם אם נושאת אשר ילדה זכאית למענק לידה?,https://www.kolzchut.org.il/he/מענק_לידה_לאם_נושאת_(פונדקאית)
be08761c,אילו סוגי דיור מתמודדי נפש זכאים,https://www.kolzchut.org.il/he/דיור_מוגן_למתמודדי_נפש
00a18116,מיהו הגוף המשלם את דמי הקבורה עבור אדם הנפטר בארץ?,https://www.kolzchut.org.il/he/מימון_שירותי_קבורה_(דמי_קבורה)
74168f04,הכלב של השכן שלי ממש מרעיש. מה אפשר לעשות,https://www.kolzchut.org.il/he/הגבלת_רעש_בעלי_חיים
3faa4e39,גיל להגיע למרכז שיקום מקצועי לעיוורים ולקויי ראייה,https://www.kolzchut.org.il/he/מרכזי_שיקום_לעיוורים_ולקויי_ראיה
21c4ea2d,כמה חודשים חייל אחרי שחרור לא צריך לשלם ארנונה,https://www.kolzchut.org.il/he/פטור_מארנונה_לחיילים_בשירות_חובה
2fed8a3e,באיזה מצב המעסיק לא מחויב בפיצויי פיטורים?,https://www.kolzchut.org.il/he/פיצויי_פיטורים_לעובד_שהתפטר_לאחר_הגעה_לגיל_פרישה
b6001a62,"האם ילדים של חלל צה""ל זכאים לתשלום עבור מטפל סיעודי?","https://www.kolzchut.org.il/he/תשלום_עבור_מטפל_סיעודי_לבני_משפחה_של_חללי_צה""ל_וכוחות_הביטחון"
b0204287,"חבר שלי סובל מליקוי ראייה ומתקשה בלימודים, יש לו אולי זכויות שניתן להקל עליו?",https://www.kolzchut.org.il/he/שיקום_מקצועי_וסיוע_בלימודים_לעיוורים_ולקויי_ראייה
c7e5d596,מתי המדינה תממן הוצאות אמבולנס עבור נפגעי פעולות איבה?,https://www.kolzchut.org.il/he/מימון_הוצאות_פינוי_באמבולנס_לנפגעי_פעולות_איבה
dff44fc2,האם אדם שאינו שאיר שסעד מקבל קצבת תלויים זכאי לאסוף אותה במקומו?,https://www.kolzchut.org.il/he/קצבת_תלויים_שלא_נגבתה_על-ידי_הזכאי
548f9ea1,האם אסיר משוחרר עם 30 אחוז נכות זכאי בשיקום מקצועי?,https://www.kolzchut.org.il/he/שיקום_מקצועי_לאסיר_משוחרר_נכה
f8742d02,כמה שנים ניתן לשמור עוברים בהקפאה?,https://www.kolzchut.org.il/he/הקפאת_עוברים
7d7397d4,באיזה תקופת גילאים זכאי ילד נכה עם אלרגיה מסכנת חיים למזון לגמלה?,https://www.kolzchut.org.il/he/גמלת_ילד_נכה_לילדים_עם_אלרגיה_מסכנת_חיים_למזון
e6011bd4,האם חייב להיות מלווה לקטין בביקור רופא,https://www.kolzchut.org.il/he/נוכחות_מלווה_בטיפול_רפואי
7d2ea718,מה הסכום המקסימלי שניתן לגבות מהורים עבור השאלת ספרי לימוד?,https://www.kolzchut.org.il/he/השאלת_ספרי_לימוד
d571eaf7,מה התדירות בה חייב מוסד להשכלה אקדמית לפרסם כללי משמעת?,https://www.kolzchut.org.il/he/פרסום_כללי_משמעת_לסטודנט_ולמועמד_ללימודים
e9f19168,כמה פיצויים אני יכול לקבל מתביעה אם אני מקבל פרסומת בלי שהסכמתי אליה?,https://www.kolzchut.org.il/he/פיצוי_בגין_משלוח_דברי_פרסומת_ללא_הסכמה_של_הנמען_(חוק_הספאם)
f6db230d,מה המחיר המקסימלי לחניה בבית חולים ?,https://www.kolzchut.org.il/he/חניה_בבתי_חולים
dff44fc2,האם אדם שאינו שאיר שקנה למקבל קצבת התלויים מצרכים שנתיים לפני זמן הפטירה זכאי לקבל אותה?,https://www.kolzchut.org.il/he/קצבת_תלויים_שלא_נגבתה_על-ידי_הזכאי
67ec072c,אלו מקומות של פנאי ובידור צריכים לבצע התאמות עבור אוכלוסיות עם מגבלויות,https://www.kolzchut.org.il/he/נגישות_לאנשים_עם_מוגבלות_באתר_שעשועים_(פארק_שעשועים)
6b984a86,מה השתנה בסטטוס של ניצולי שואה מהעיר יאסי ברומניה?,https://www.kolzchut.org.il/he/קצבה_לניצולי_שואה_אשר_שהו_בעיר_יאסי_שברומניה
590835b8,האם סטודנטית בהריון מקבלת פריווילגיה בנושא חניון רכבה ליד מוסד הלימודים?,https://www.kolzchut.org.il/he/חניה_חינם_לסטודנטית_בהיריון
71d74794,אילו אוכלוסיות זכאיות לסבסוד קופות החולים לשימור זרע?,https://www.kolzchut.org.il/he/הפקדת_זרע
c3e31e0f,האם יש גוף אשר אחראי לקבלת סיוע מממשלת גרמניה?,https://www.kolzchut.org.il/he/תרופות_ואביזרים_רפואים_לניצולי_שואה
6c4949a7,האם אסירים יכולים להצביע לכנסת,https://www.kolzchut.org.il/he/הצבעה_לכנסת_של_אסירים_ועצירים
68c33015,מה הוא מענק להתקנת מעלית ומי זכאי לו?,https://www.kolzchut.org.il/he/השתתפות_בביטוח_שנתי_למעלית_לנכה_בכיסא_גלגלים_שהוא_נפגע_פעולת_איבה
2fed8a3e,מתי המעסיק לא יהיה חייב לתת כספי פיצויי פיטורים?,https://www.kolzchut.org.il/he/פיצויי_פיטורים_לעובד_שהתפטר_לאחר_הגעה_לגיל_פרישה
c5f59d88,"פיטרו אותי מהעבודה ואני חושב שזה בגלל שהבוס שלי לא רוצה לשלם לי על הוותק בחברה, מה עליי לעשות?",https://www.kolzchut.org.il/he/איסור_פיטורי_עובד_על_מנת_להימנע_מלשלם_לו_זכויות_סוציאליות
d0b36ab4,כיצד מעסיק מחויב להתאים את מקום העבודה ותנאי העבודה לאדם עם מוגבלות?,https://www.kolzchut.org.il/he/התאמות_במקום_העבודה_לאנשים_עם_מוגבלויות
e6285525,גובה תשלום החזרים לבני משפחה של נפגע פעולות איבה,https://www.kolzchut.org.il/he/החזר_הוצאות_לבני_משפחה_של_נפגע_פעולת_איבה
e1784a94,סוגי תשלומים לפריסת מס הכנסה,https://www.kolzchut.org.il/he/פריסת_תשלום_מס_הכנסה_על_כספים_המשולמים_לעובד_בסיום_העסקתו
c92db242,"כמה כסף משולם לעובד עבור ימי מחלה של ילד, בהתאם ליום המחלה?",https://www.kolzchut.org.il/he/ימי_מחלה_עקב_מחלת_ילד
0b76697c,מה צריך להופיע בחוזה העסקה של עובד זר?,https://www.kolzchut.org.il/he/חוזה_עבודה_לעובד_זר
9f3d72ea,מהם הקריטריונים להזרעה מלאכותית אצל בני זוג?,https://www.kolzchut.org.il/he/הזרעה_מלאכותית_מזרע_של_תורם_אצל_בני_זוג
a1bf0b65,עד לאיזה תעריף המימון שהות של נפגע איבה במוסד סיעודי שעומד בקריטריונים יכול להגיע?,https://www.kolzchut.org.il/he/סידור_במוסד_סיעודי_לנפגע_פעולת_איבה
b2c7eda1,"אם מישהי נפגעת אלימות נדחתה מלקבל מענק הסתגלות למרות שהיא זכאית, מה עליה לעשות?",https://www.kolzchut.org.il/he/מענק_הסתגלות_וסל_שירותים_לנשים_נפגעות_אלימות_(נשים_מוכות)
d4e2962f,איזה זכויות יש לנפגע  פוסט טראומה של משרד הבטחון בענייני שיניים?,"https://www.kolzchut.org.il/he/טיפולי_שיניים_לנכי_צה""ל_וכוחות_הביטחון_שהוכרה_להם_פגיעה_נפשית"
cd8787fb,קבוצות זכאיות להתאמות במבחני המיון לתפקידים בשירות המדינה,https://www.kolzchut.org.il/he/התאמות_במבחני_המיון_לתפקידים_בשירות_המדינה_למועמדים_עם_לקות_למידה_או_מוגבלות
055a6dde,כמה תוספת בשכר מקבל עובד ניקיון על עבודה מיוחדת,https://www.kolzchut.org.il/he/תוספת_תשלום_עבור_עבודות_מיוחדות_לעובדי_חברות_ניקיון
63f8d23a,מה גובה ההנחה בתחבורה ציבורית שמקבלים נפגעי פעולות איבה בעלי תעודת נכה?,https://www.kolzchut.org.il/he/הנחה_בתחבורה_הציבורית_לנפגעי_פעולות_איבה
3cac7397,יש מצב שניתן להשאיר קטין בבית סוהר לא מופרד למשך יום?,https://www.kolzchut.org.il/he/תנאי_מאסר_של_קטין
58b63b38,לאיזו קצבת הבטחת הכנסה זכאי ילד יתום,https://www.kolzchut.org.il/he/קצבת_הבטחת_הכנסה_לילד_יתום_או_לילד_נטוש
1641f799,מהו פרק הזמן המוקצב ללשכה פרטית להחזר תשלומים לעובד זר במקרה של הפרת התחייבויות?,https://www.kolzchut.org.il/he/החזר_תשלום_מלשכות_גיוס_עובדים_זרים
e2e441cb,האם אפשר לקבל נקודות זכות על פעילות חברתית וגם על מילואים?,https://www.kolzchut.org.il/he/נקודות_זכות_אקדמיות_לסטודנטים_עבור_פעילות_חברתית_וקהילתית
08246a31,האם אני זכאית לקצבה לילדה אם אני עובדת זרה עם ילדה בת 5?,https://www.kolzchut.org.il/he/קצבת_ילדים_לעובדת_זרה
16ec488c,האם ערב החג עיד אל פיטר נחשב יום בחירה,https://www.kolzchut.org.il/he/עיד_אל_פיטר_(חג_סיום_צום_הרמדאן)
bc17ddd4,האם קיימת חובה להעניק טיפול רפואי מחוץ לכלא עבור אסירות שהן אמהות לילדים וכן עבור ילדיהן נמצאים איתן בכלא?,https://www.kolzchut.org.il/he/טיפול_רפואי_לאסירות_בהריון_ולילדיהן_בכלא
e533eeea,כיצד יעשה חיפוש על גופו של חייב בהוצאה בפועל?,https://www.kolzchut.org.il/he/שמירה_על_כבודו_ופרטיותו_של_חייב_בהוצאה_לפועל_במהלך_חיפוש_על_גופו_או_בכליו
5e398c8a,בכמה תשלומים מקבלים דמי לידה?,https://www.kolzchut.org.il/he/פריסת_תשלום_מס_הכנסה_על_דמי_לידה
